topic;categoria;label
22;Alimentação e Corpo;Saberes, sentidos e discursos sobre comida
49;Alimentação e Corpo;Relações com o corpo e a alimentação
2;Alimentação e Nutrição nos Ciclos da Vida;Estado nutricional em crianças e adolescentes
24;Alimentação e Nutrição nos Ciclos da Vida;Nutrição e cuidado na gestação
26;Alimentação e Nutrição nos Ciclos da Vida;Estado nutricional da pessoa idosa 
63;Alimentação e Nutrição nos Ciclos da Vida;Alimentação e nutrição infantil 
11;Ambientes e insegurança alimentar ;Ambientes Alimentares
17;Ambientes e insegurança alimentar ;Insegurança alimentar e seus determinantes
8;Ciência e Tecnologia de Alimentos ;Potencial prebiótico e probiótico de componentes alimentares
14;Ciência e Tecnologia de Alimentos ;Características de alimentos e contaminantes segundo processos de produção, processamento e consumo
16;Ciência e Tecnologia de Alimentos ;Composição nutricional e de compostos bioativos
38;Ciência e Tecnologia de Alimentos ;Controle microbiano de alimentos
40;Ciência e Tecnologia de Alimentos ;Composição, processamento e biodisponibilidade de nutrientes em grãos
41;Ciência e Tecnologia de Alimentos ;Técnicas de encapsulamento e propriedades fisico-químicas e funcionais de alimentos
43;Ciência e Tecnologia de Alimentos ;Composição e propriedades de alimentos
45;Ciência e Tecnologia de Alimentos ;Boas práticas e segurança de alimentos
46;Ciência e Tecnologia de Alimentos ;Composição e qualidade de leites e produtos lácteos
50;Ciência e Tecnologia de Alimentos ;Polifenóis e compostos bioativos em alimentos
58;Ciência e Tecnologia de Alimentos ;Extração de componentes e conservação de alimentos
64;Ciência e Tecnologia de Alimentos ;Desenvolvimento de alimentos de panificação
10;Epidemiologia;Micronutrientes e morbidades
12;Epidemiologia;Padrões alimentares
30;Epidemiologia;Distribuição e carga das DCNT
31;Epidemiologia;Risco cardiovascular 
34;Epidemiologia;Conhecimento nutricional, qualidade da dieta e práticas alimentares
51;Epidemiologia;Composição e adequação nutricional de dietas 
56;Epidemiologia;Transtornos mentais e fatores associados
62;Epidemiologia;Hábitos de vida em grupos específicos
7;Experimentos em Nutrição e Metabolismo;Experimentos sobre restrição proteica e metabolismo da insulina
13;Experimentos em Nutrição e Metabolismo;Experimentos sobre dor, inflamação e regeneração muscular
21;Experimentos em Nutrição e Metabolismo;Estresse oxidativo
23;Experimentos em Nutrição e Metabolismo;Experimentos sobre intervenções nutricionais e exercício físico nas alterações metabólicas
25;Experimentos em Nutrição e Metabolismo;Experimentos sobre efeitos cardiovasculares e imunomoduladores de compostos bioativos
28;Experimentos em Nutrição e Metabolismo;Inflamação e saúde intestinal em condições crônicas
29;Experimentos em Nutrição e Metabolismo;Experimentos sobre os efeitos metabólicos de óleos e gorduras
32;Experimentos em Nutrição e Metabolismo;Experimentos em desenvolvimento e excitabilidade cerebral
35;Experimentos em Nutrição e Metabolismo;Experimentos sobre regulação metabólica e homeostase
37;Experimentos em Nutrição e Metabolismo;Experimentos sobre fitoterápicos no contexto de doenças crônicas
44;Experimentos em Nutrição e Metabolismo;Agentes ajuvantes no tratamento oncológico/quimioterápico
48;Experimentos em Nutrição e Metabolismo;Alvos moleculares e vias de sinalização em doenças crônicas
54;Experimentos em Nutrição e Metabolismo;Experimentos na gestação e efeitos na prole
59;Experimentos em Nutrição e Metabolismo;Rastreamento genético em condições crônicas
60;Experimentos em Nutrição e Metabolismo;Experimentos sobre programação fetal e efeitos metabólicos de exposições precoces
15;Gestão e Políticas de Alimentação, Nutrição e Saúde;Análise e percepção de rotulagem de alimentos
36;Gestão e Políticas de Alimentação, Nutrição e Saúde;Aquisição pública de alimentos e sustentabilidade 
52;Gestão e Políticas de Alimentação, Nutrição e Saúde;Formação e atuação profissional 
3;Métodos de pesquisa e avaliação em Nutrição ;Revisões em alimentação e nutrição
9;Métodos de pesquisa e avaliação em Nutrição ;Diagnóstico de risco nutricional em cuidados intensivos
27;Métodos de pesquisa e avaliação em Nutrição ;Avaliação de composição corporal
47;Métodos de pesquisa e avaliação em Nutrição ;Desenvolvimento e validação de instrumentos sobre cuidado nutricional e práticas alimentares
53;Métodos de pesquisa e avaliação em Nutrição ;Métodos para estimativa de composição corporal e metabolismo 
19;Nutrição Clínica;Ensaios clínicos sobre oleaginosas e ácidos graxos para controle metabólico e de peso
42;Nutrição Clínica;Ensaios clínicos sobre suplementação com óleo de peixe/Omega 3 e inflamação no câncer
57;Nutrição Clínica;COVID-19: resposta imune, sintomas e práticas alimentares
1;Nutrição Clínica;Fibras alimentares e condições metabólicas
18;Nutrição Clínica;Perfil metabólico e intervenções com pessoas com obesidade
20;Nutrição Clínica;Perfil metabólico e avaliação nutricional em doenças crônicas
39;Nutrição Clínica;Qualidade de vida, saúde e nutrição no paciente grave
61;Nutrição Clínica;Tratamento cirúrgico da obesidade
65;Nutrição Clínica;Aspectos sensoriais de grupos específicos
4;Nutrição Esportiva e Exercício ;Esporte: indicadores táticos e treinamento
6;Nutrição Esportiva e Exercício ;Desempenho físico na prática esportiva
33;Nutrição Esportiva e Exercício ;Ensaios clínicos sobre suplementação e desempenho físico
55;Excluído;Excluído
5;Excluído;Excluído
